EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/40,2,Unidentified,64,0220,2018:11:17 11:54:12,2018:11:17 11:54:12,YCbCr,-133/25,2
1/40,2,Unidentified,64,0220,2018:11:17 11:54:21,2018:11:17 11:54:21,YCbCr,-133/25,2
1/40,2,Unidentified,64,0220,2018:11:17 11:54:29,2018:11:17 11:54:29,YCbCr,-133/25,2
4166667/125000000,2,Unidentified,184,0220,2018:11:17 11:54:38,2018:11:17 11:54:38,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,988,0220,2018:11:17 11:55:52,2018:11:17 11:55:52,YCbCr,-39/10,2
4166667/62500000,2,Unidentified,383,0220,2018:11:17 11:56:00,2018:11:17 11:56:00,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,180,0220,2018:11:17 11:56:05,2018:11:17 11:56:05,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,72,0220,2018:11:17 11:56:12,2018:11:17 11:56:12,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,53,0220,2018:11:17 11:56:16,2018:11:17 11:56:16,YCbCr,-49/10,2
10416667/250000000,2,Unidentified,359,0220,2018:11:17 11:56:29,2018:11:17 11:56:29,YCbCr,-229/50,2
4166667/62500000,2,Unidentified,472,0220,2018:11:17 11:56:35,2018:11:17 11:56:35,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,56,0220,2018:11:17 11:56:40,2018:11:17 11:56:40,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,256,0220,2018:11:17 11:56:44,2018:11:17 11:56:44,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,242,0220,2018:11:17 11:58:26,2018:11:17 11:58:26,YCbCr,-49/10,2
1/20,2,Unidentified,428,0220,2018:11:17 11:58:35,2018:11:17 11:58:35,YCbCr,-108/25,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 11:58:46,2018:11:17 11:58:46,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,334,0220,2018:11:17 11:58:56,2018:11:17 11:58:56,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 11:59:12,2018:11:17 11:59:12,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,758,0220,2018:11:17 11:59:18,2018:11:17 11:59:18,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,264,0220,2018:11:17 11:59:28,2018:11:17 11:59:28,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 11:59:39,2018:11:17 11:59:39,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,248,0220,2018:11:17 11:59:46,2018:11:17 11:59:46,YCbCr,-49/10,2
10416667/250000000,2,Unidentified,370,0220,2018:11:17 12:00:01,2018:11:17 12:00:01,YCbCr,-229/50,2
4166667/125000000,2,Unidentified,377,0220,2018:11:17 12:00:08,2018:11:17 12:00:08,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,208,0220,2018:11:17 12:00:28,2018:11:17 12:00:28,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,366,0220,2018:11:17 12:00:32,2018:11:17 12:00:32,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,155,0220,2018:11:17 12:00:37,2018:11:17 12:00:37,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,97,0220,2018:11:17 12:00:50,2018:11:17 12:00:50,YCbCr,-49/10,2
1/20,2,Unidentified,428,0220,2018:11:17 12:00:55,2018:11:17 12:00:55,YCbCr,-108/25,2
4166667/125000000,2,Unidentified,389,0220,2018:11:17 12:00:58,2018:11:17 12:00:58,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,500,0220,2018:11:17 12:01:07,2018:11:17 12:01:07,YCbCr,-39/10,2
4166667/62500000,2,Unidentified,714,0220,2018:11:17 12:01:42,2018:11:17 12:01:42,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,413,0220,2018:11:17 12:01:50,2018:11:17 12:01:50,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,72,0220,2018:11:17 12:02:03,2018:11:17 12:02:03,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,72,0220,2018:11:17 12:02:16,2018:11:17 12:02:16,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,203,0220,2018:11:17 12:02:20,2018:11:17 12:02:20,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,203,0220,2018:11:17 12:02:24,2018:11:17 12:02:24,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,203,0220,2018:11:17 12:02:33,2018:11:17 12:02:33,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,127,0220,2018:11:17 12:02:44,2018:11:17 12:02:44,YCbCr,-49/10,2
4166667/125000000,2,Unidentified,334,0220,2018:11:17 12:02:58,2018:11:17 12:02:58,YCbCr,-49/10,2
4166667/62500000,2,Unidentified,444,0220,2018:11:17 12:03:25,2018:11:17 12:03:25,YCbCr,-39/10,2
4166667/125000000,2,Unidentified,142,0220,2018:11:17 12:03:47,2018:11:17 12:03:47,YCbCr,-49/10,2
